,Track name,Artist,Popularity,Track URL,id,Playlist country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,7 Dni,Molec,49,https://open.spotify.com/track/56dILgPraSNLKcd89hxXaq,56dILgPraSNLKcd89hxXaq,Bulgaria,0.597,0.71,0,-5.706,0,0.402,0.283,0.0,0.117,0.478,89.245,audio_features,spotify:track:56dILgPraSNLKcd89hxXaq,https://api.spotify.com/v1/tracks/56dILgPraSNLKcd89hxXaq,https://api.spotify.com/v1/audio-analysis/56dILgPraSNLKcd89hxXaq,229333,4
1,PARALIA,V:RGO,51,https://open.spotify.com/track/5qX0V96jKJ6zC8UImlXKmO,5qX0V96jKJ6zC8UImlXKmO,Bulgaria,0.817,0.647,9,-6.475,1,0.243,0.145,0.0,0.102,0.723,142.981,audio_features,spotify:track:5qX0V96jKJ6zC8UImlXKmO,https://api.spotify.com/v1/tracks/5qX0V96jKJ6zC8UImlXKmO,https://api.spotify.com/v1/audio-analysis/5qX0V96jKJ6zC8UImlXKmO,273754,4
2,Under The Influence,Chris Brown,90,https://open.spotify.com/track/5IgjP7X4th6nMNDh4akUHb,5IgjP7X4th6nMNDh4akUHb,Bulgaria,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,audio_features,spotify:track:5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/tracks/5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/audio-analysis/5IgjP7X4th6nMNDh4akUHb,184613,4
3,Ferrari,James Hype,90,https://open.spotify.com/track/4zN21mbAuaD0WqtmaTZZeP,4zN21mbAuaD0WqtmaTZZeP,Bulgaria,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,audio_features,spotify:track:4zN21mbAuaD0WqtmaTZZeP,https://api.spotify.com/v1/tracks/4zN21mbAuaD0WqtmaTZZeP,https://api.spotify.com/v1/audio-analysis/4zN21mbAuaD0WqtmaTZZeP,186662,4
4,Welcome to Bulgaria,Galena,51,https://open.spotify.com/track/04zqsdXIs6fCpvKgl0AYY7,04zqsdXIs6fCpvKgl0AYY7,Bulgaria,0.631,0.856,1,-1.577,0,0.222,0.0747,0.0,0.0862,0.665,180.007,audio_features,spotify:track:04zqsdXIs6fCpvKgl0AYY7,https://api.spotify.com/v1/tracks/04zqsdXIs6fCpvKgl0AYY7,https://api.spotify.com/v1/audio-analysis/04zqsdXIs6fCpvKgl0AYY7,202667,4
5,RIDE OR DIE,V:RGO,47,https://open.spotify.com/track/6eOG7lOgVEWKqhWFRL2O4j,6eOG7lOgVEWKqhWFRL2O4j,Bulgaria,0.615,0.837,11,-7.447,1,0.108,0.0791,0.0,0.306,0.62,89.933,audio_features,spotify:track:6eOG7lOgVEWKqhWFRL2O4j,https://api.spotify.com/v1/tracks/6eOG7lOgVEWKqhWFRL2O4j,https://api.spotify.com/v1/audio-analysis/6eOG7lOgVEWKqhWFRL2O4j,221347,4
6,Пистолет,Medi,48,https://open.spotify.com/track/3bEbRxixvEVlEVIgvepXcg,3bEbRxixvEVlEVIgvepXcg,Bulgaria,0.515,0.911,0,-5.225,0,0.315,0.231,0.0,0.367,0.553,184.175,audio_features,spotify:track:3bEbRxixvEVlEVIgvepXcg,https://api.spotify.com/v1/tracks/3bEbRxixvEVlEVIgvepXcg,https://api.spotify.com/v1/audio-analysis/3bEbRxixvEVlEVIgvepXcg,167211,4
7,As It Was,Harry Styles,93,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,4Dvkj6JhhA12EX05fT7y2e,Bulgaria,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,spotify:track:4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/tracks/4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/audio-analysis/4Dvkj6JhhA12EX05fT7y2e,167303,4
8,Euphoria,Galena,49,https://open.spotify.com/track/4sO11a54gXayms6GDyqKep,4sO11a54gXayms6GDyqKep,Bulgaria,0.787,0.903,11,-5.339,1,0.0498,0.169,1.72e-06,0.0743,0.711,143.011,audio_features,spotify:track:4sO11a54gXayms6GDyqKep,https://api.spotify.com/v1/tracks/4sO11a54gXayms6GDyqKep,https://api.spotify.com/v1/audio-analysis/4sO11a54gXayms6GDyqKep,223217,4
9,Pink Venom,BLACKPINK,88,https://open.spotify.com/track/0skYUMpS0AcbpjcGsAbRGj,0skYUMpS0AcbpjcGsAbRGj,Bulgaria,0.798,0.697,0,-7.139,1,0.0891,0.0202,0.0,0.259,0.745,90.031,audio_features,spotify:track:0skYUMpS0AcbpjcGsAbRGj,https://api.spotify.com/v1/tracks/0skYUMpS0AcbpjcGsAbRGj,https://api.spotify.com/v1/audio-analysis/0skYUMpS0AcbpjcGsAbRGj,186964,4
