,Track name,Artist,Popularity,Track URL,id,Playlist country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,Genre,Genre code
0,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,100,https://open.spotify.com/track/2tTmW7RDtMQtBk7m2rYeSw,2tTmW7RDtMQtBk7m2rYeSw,Global,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,0.39257210008323934,audio_features,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,https://api.spotify.com/v1/tracks/2tTmW7RDtMQtBk7m2rYeSw,https://api.spotify.com/v1/audio-analysis/2tTmW7RDtMQtBk7m2rYeSw,198938,4,Hispanic american dance music,2
1,As It Was,Harry Styles,93,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,4Dvkj6JhhA12EX05fT7y2e,Global,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,0.7671252999069677,audio_features,spotify:track:4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/tracks/4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/audio-analysis/4Dvkj6JhhA12EX05fT7y2e,167303,4,Pop,1
2,Pink Venom,BLACKPINK,88,https://open.spotify.com/track/0skYUMpS0AcbpjcGsAbRGj,0skYUMpS0AcbpjcGsAbRGj,Global,0.798,0.697,0,-7.139,1,0.0891,0.0202,0.0,0.259,0.745,0.08244789371460289,audio_features,spotify:track:0skYUMpS0AcbpjcGsAbRGj,https://api.spotify.com/v1/tracks/0skYUMpS0AcbpjcGsAbRGj,https://api.spotify.com/v1/audio-analysis/0skYUMpS0AcbpjcGsAbRGj,186964,4,Pop,1
3,Me Porto Bonito,Bad Bunny,99,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx,6Sq7ltF9Qa7SNFBsV5Cogx,Global,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,0.09855718226182895,audio_features,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,https://api.spotify.com/v1/tracks/6Sq7ltF9Qa7SNFBsV5Cogx,https://api.spotify.com/v1/audio-analysis/6Sq7ltF9Qa7SNFBsV5Cogx,178567,4,Hispanic american dance music,2
4,Tití Me Preguntó,Bad Bunny,97,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ,1IHWl5LamUGEuP4ozKQSXZ,Global,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,0.21825066509980576,audio_features,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,https://api.spotify.com/v1/tracks/1IHWl5LamUGEuP4ozKQSXZ,https://api.spotify.com/v1/audio-analysis/1IHWl5LamUGEuP4ozKQSXZ,243717,4,Hispanic american dance music,2
5,DESPECHÁ,ROSALÍA,95,https://open.spotify.com/track/5ildQOEKmJuWGl2vRkFdYc,5ildQOEKmJuWGl2vRkFdYc,Global,0.919,0.623,7,-6.521,1,0.0992,0.184,1.63e-05,0.0609,0.775,0.40892621064486123,audio_features,spotify:track:5ildQOEKmJuWGl2vRkFdYc,https://api.spotify.com/v1/tracks/5ildQOEKmJuWGl2vRkFdYc,https://api.spotify.com/v1/audio-analysis/5ildQOEKmJuWGl2vRkFdYc,157018,4,Hispanic american dance music,2
6,La Bachata,Manuel Turizo,94,https://open.spotify.com/track/5ww2BF9slyYgNOk37BlC4u,5ww2BF9slyYgNOk37BlC4u,Global,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,0.3676573797515873,audio_features,spotify:track:5ww2BF9slyYgNOk37BlC4u,https://api.spotify.com/v1/tracks/5ww2BF9slyYgNOk37BlC4u,https://api.spotify.com/v1/audio-analysis/5ww2BF9slyYgNOk37BlC4u,162638,4,Hispanic american dance music,2
7,Efecto,Bad Bunny,96,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx,5Eax0qFko2dh7Rl2lYs3bx,Global,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,0.1478643359610896,audio_features,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,https://api.spotify.com/v1/tracks/5Eax0qFko2dh7Rl2lYs3bx,https://api.spotify.com/v1/audio-analysis/5Eax0qFko2dh7Rl2lYs3bx,213061,4,Hispanic american dance music,2
8,Running Up That Hill (A Deal With God),Kate Bush,94,https://open.spotify.com/track/75FEaRjZTKLhTrFGsfMUXR,75FEaRjZTKLhTrFGsfMUXR,Global,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,0.23214839478365895,audio_features,spotify:track:75FEaRjZTKLhTrFGsfMUXR,https://api.spotify.com/v1/tracks/75FEaRjZTKLhTrFGsfMUXR,https://api.spotify.com/v1/audio-analysis/75FEaRjZTKLhTrFGsfMUXR,298933,4,Undefined,6
9,Ojitos Lindos,Bad Bunny,96,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW,3k3NWokhRRkEPhCzPmV8TW,Global,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,0.0,audio_features,spotify:track:3k3NWokhRRkEPhCzPmV8TW,https://api.spotify.com/v1/tracks/3k3NWokhRRkEPhCzPmV8TW,https://api.spotify.com/v1/audio-analysis/3k3NWokhRRkEPhCzPmV8TW,258299,4,Hispanic american dance music,2
