,Track name,Artist,Popularity,Track URL,id,Playlist country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,Тесно,Aarne,57,https://open.spotify.com/track/4oHEJ5KPf9hW1pDyQYIRIw,4oHEJ5KPf9hW1pDyQYIRIw,Ukraine,0.931,0.696,7,-6.656,1,0.187,0.336,2.49e-05,0.339,0.357,134.005,audio_features,spotify:track:4oHEJ5KPf9hW1pDyQYIRIw,https://api.spotify.com/v1/tracks/4oHEJ5KPf9hW1pDyQYIRIw,https://api.spotify.com/v1/audio-analysis/4oHEJ5KPf9hW1pDyQYIRIw,132649,4
1,боі стули пельку,jockii druce,59,https://open.spotify.com/track/5ZNmRNEc0i3o8sP9NKqsvQ,5ZNmRNEc0i3o8sP9NKqsvQ,Ukraine,0.83,0.607,0,-13.236,1,0.337,0.439,0.00226,0.237,0.436,123.974,audio_features,spotify:track:5ZNmRNEc0i3o8sP9NKqsvQ,https://api.spotify.com/v1/tracks/5ZNmRNEc0i3o8sP9NKqsvQ,https://api.spotify.com/v1/audio-analysis/5ZNmRNEc0i3o8sP9NKqsvQ,79355,4
2,Чути гімн,Skofka,59,https://open.spotify.com/track/4Yzlz45QgjUKZmN2KrK4AP,4Yzlz45QgjUKZmN2KrK4AP,Ukraine,0.826,0.4,9,-12.597,0,0.316,0.439,0.0,0.348,0.422,120.047,audio_features,spotify:track:4Yzlz45QgjUKZmN2KrK4AP,https://api.spotify.com/v1/tracks/4Yzlz45QgjUKZmN2KrK4AP,https://api.spotify.com/v1/audio-analysis/4Yzlz45QgjUKZmN2KrK4AP,148193,4
3,Додому (feat. Skofka),KALUSH,59,https://open.spotify.com/track/7kKTYTHULdERuHGCkVyLVD,7kKTYTHULdERuHGCkVyLVD,Ukraine,0.859,0.548,5,-7.831,0,0.0432,0.455,8.03e-05,0.0967,0.647,119.985,audio_features,spotify:track:7kKTYTHULdERuHGCkVyLVD,https://api.spotify.com/v1/tracks/7kKTYTHULdERuHGCkVyLVD,https://api.spotify.com/v1/audio-analysis/7kKTYTHULdERuHGCkVyLVD,216000,4
4,Заберу,uglystephan,64,https://open.spotify.com/track/3pzr7iKQpV9QjLGcLcd2ic,3pzr7iKQpV9QjLGcLcd2ic,Ukraine,0.764,0.7,2,-4.462,0,0.117,0.113,0.0,0.133,0.273,145.011,audio_features,spotify:track:3pzr7iKQpV9QjLGcLcd2ic,https://api.spotify.com/v1/tracks/3pzr7iKQpV9QjLGcLcd2ic,https://api.spotify.com/v1/audio-analysis/3pzr7iKQpV9QjLGcLcd2ic,122483,4
5,Murder In My Mind,Kordhell,85,https://open.spotify.com/track/6qyS9qBy0mEk3qYaH8mPss,6qyS9qBy0mEk3qYaH8mPss,Ukraine,0.712,0.972,10,-0.514,1,0.112,0.00547,7.06e-05,0.128,0.568,119.966,audio_features,spotify:track:6qyS9qBy0mEk3qYaH8mPss,https://api.spotify.com/v1/tracks/6qyS9qBy0mEk3qYaH8mPss,https://api.spotify.com/v1/audio-analysis/6qyS9qBy0mEk3qYaH8mPss,145000,4
6,Never Broke Again,xxxmanera,64,https://open.spotify.com/track/21LIoC4ZxT3F8xq9gidNbX,21LIoC4ZxT3F8xq9gidNbX,Ukraine,0.643,0.573,1,-6.992,1,0.0466,0.0126,0.0,0.201,0.7,139.94,audio_features,spotify:track:21LIoC4ZxT3F8xq9gidNbX,https://api.spotify.com/v1/tracks/21LIoC4ZxT3F8xq9gidNbX,https://api.spotify.com/v1/audio-analysis/21LIoC4ZxT3F8xq9gidNbX,108069,4
7,Ya Lyublyu,Clonnex,50,https://open.spotify.com/track/3Hff4mCaUFKzrq05w78tEn,3Hff4mCaUFKzrq05w78tEn,Ukraine,0.504,0.6,1,-7.244,1,0.0796,0.000106,0.0425,0.126,0.447,140.86,audio_features,spotify:track:3Hff4mCaUFKzrq05w78tEn,https://api.spotify.com/v1/tracks/3Hff4mCaUFKzrq05w78tEn,https://api.spotify.com/v1/audio-analysis/3Hff4mCaUFKzrq05w78tEn,124227,4
8,vendetta!,MUPP,83,https://open.spotify.com/track/5Sk39LuvdwuvL84jD01Dum,5Sk39LuvdwuvL84jD01Dum,Ukraine,0.706,0.91,1,-3.527,1,0.146,0.175,2e-06,0.11,0.667,126.007,audio_features,spotify:track:5Sk39LuvdwuvL84jD01Dum,https://api.spotify.com/v1/tracks/5Sk39LuvdwuvL84jD01Dum,https://api.spotify.com/v1/audio-analysis/5Sk39LuvdwuvL84jD01Dum,107045,4
9,інша любов,ENLEO,57,https://open.spotify.com/track/24s8SuDR01re1GxkELG7d0,24s8SuDR01re1GxkELG7d0,Ukraine,0.404,0.558,4,-9.497,0,0.05,0.294,0.0,0.325,0.12,120.101,audio_features,spotify:track:24s8SuDR01re1GxkELG7d0,https://api.spotify.com/v1/tracks/24s8SuDR01re1GxkELG7d0,https://api.spotify.com/v1/audio-analysis/24s8SuDR01re1GxkELG7d0,248000,4
10,Stefania (Kalush Orchestra),KALUSH,70,https://open.spotify.com/track/2vHzOWRKYPLu8umRPIFuOq,2vHzOWRKYPLu8umRPIFuOq,Ukraine,0.832,0.817,2,-5.182,1,0.0422,0.145,0.00169,0.115,0.324,104.985,audio_features,spotify:track:2vHzOWRKYPLu8umRPIFuOq,https://api.spotify.com/v1/tracks/2vHzOWRKYPLu8umRPIFuOq,https://api.spotify.com/v1/audio-analysis/2vHzOWRKYPLu8umRPIFuOq,179546,4
11,Файна (feat. Skofka),KALUSH,58,https://open.spotify.com/track/3EkGH0yreaWUFAXBil8rmH,3EkGH0yreaWUFAXBil8rmH,Ukraine,0.958,0.495,5,-6.476,0,0.0673,0.0299,0.0,0.11,0.545,111.994,audio_features,spotify:track:3EkGH0yreaWUFAXBil8rmH,https://api.spotify.com/v1/tracks/3EkGH0yreaWUFAXBil8rmH,https://api.spotify.com/v1/audio-analysis/3EkGH0yreaWUFAXBil8rmH,156429,4
12,Ластівки,Chico,57,https://open.spotify.com/track/489WGIBYPf4nallnJOHpK6,489WGIBYPf4nallnJOHpK6,Ukraine,0.828,0.824,9,-6.875,0,0.419,0.118,1.81e-05,0.26,0.527,122.958,audio_features,spotify:track:489WGIBYPf4nallnJOHpK6,https://api.spotify.com/v1/tracks/489WGIBYPf4nallnJOHpK6,https://api.spotify.com/v1/audio-analysis/489WGIBYPf4nallnJOHpK6,175610,4
